,Level,,Items,,A,,B,,C ,,D,CORRECT ANSWERS,RATIONALE,,,,,,
,D,11,"In Milgram’s controversial study on obedience, nearly ________ of the participants were willing to administer what appeared to be lethal electrical shocks to another person because they were told to do so by an authority figure. ",,One-third,,Two-third,,Three-fourth,,Four-fifth,B,Distractor item,,,,,,
,A,12,A researcher interested in what factors make an employee best suited for a given job would most likely identify as a(n) ________ psychologist. ,,Personality,,Clinical,,Social,,I-O,D,Social psychology focuses on how we interact with and relate to others.,,,,,,Personality psychology focuses on patterns of thoughts and behaviors that make each individual unique.Clinical psychology is an area of psychology that focuses on the diagnosis and treatment of psychological disorders and other problematic patterns of behavior. Social psychology focuses on how we interact with and relate to others.
,D,13,"If someone wanted to become a psychology professor at a 4-year college, then s/he would probably need a ________ degree in psychology. ",,Bachelor of Science,,Bachelor of Art,,Master’s,,PhD,D,Distractor item,,,,,,
,D,14,The ________ places less emphasis on research and more emphasis on application of therapeutic skills.,,PhD,,PsyD,,Postdoctoral training program,,Dissertation,B,A dissertation is essentially a long research paper or bundled published articles describing research that was conducted as a part of the candidate’s doctoral training.,,,,,,A PhD (Doctor of Philosophy) is a doctoral degree conferred in many disciplinary perspectives housed in a traditional college of liberal arts and sciences.A postdoctoral training program allows young scientists to further develop their research programs and broaden their research skills under the supervision of other professionals in the field.A dissertation is essentially a long research paper or bundled published articles describing research that was conducted as a part of the candidate’s doctoral training.
,D,15,Which of the following degrees would be the minimum required to teach psychology courses in high school?,,PhD,,PsyD,,Master’s degree,,Bachelor’s degree,D,Distractor item,,,,,,
,A,16,Scientific hypotheses are ________ and falsifiable.,,Observable,,Original,,Provable,,Testable,D,Scientific hypothesis is a tentative and testable statement about the relationship between two or more variables. ,,,,,,Scientific hypothesis is a tentative and testable statement about the relationship between two or more variables. Scientific hypothesis is a tentative and testable statement about the relationship between two or more variables. Scientific hypothesis is a tentative and testable statement about the relationship between two or more variables. 
,E,17,________ are defined as observable realities.,,Behaviors,,Facts,,Opinions,,Theories,B,A theory is a well-developed set of ideas that propose an explanation for observed phenomena.,,,,,,"Behaviors are an organism's activities in response to external or internal stimuli, including objectively observable activities, introspectively observable activities (see covert behavior), and nonconscious processes.Opinions are personal judgments, conclusions, or attitudes that may or may not be accurate.A theory is a well-developed set of ideas that propose an explanation for observed phenomena."
,E,18,Scientific knowledge is ________. ,,Intuitive,,Empirical,,Permanent,,Subjective,B,"Scientific knowledge is advanced through a process known as the scientific method. Basically, ideas (in the form of theories and hypotheses) are tested against the real world (in the form of empirical observations), and those empirical observations lead to more ideas that are tested against the real world.",,,,,,"Scientific knowledge is advanced through a process known as the scientific method. Basically, ideas (in the form of theories and hypotheses) are tested against the real world (in the form of empirical observations), and those empirical observations lead to more ideas that are tested against the real world.Scientific knowledge is advanced through a process known as the scientific method. Basically, ideas (in the form of theories and hypotheses) are tested against the real world (in the form of empirical observations), and those empirical observations lead to more ideas that are tested against the real world.Scientific knowledge is advanced through a process known as the scientific method. Basically, ideas (in the form of theories and hypotheses) are tested against the real world (in the form of empirical observations), and those empirical observations lead to more ideas that are tested against the real world."
,D,19,A major criticism of Freud’s early theories involves the fact that his theories ________. ,,Were too limited in scope,,Were too outrageous,,Were too broad,,Were not testable,D,A major criticism of Freud’s theories is that many of his ideas are not falsifiable or incapable of being proven as incorrect.,,,,,,A major criticism of Freud’s theories is that many of his ideas are not falsifiable or incapable of being proven as incorrect.A major criticism of Freud’s theories is that many of his ideas are not falsifiable or incapable of being proven as incorrect.A major criticism of Freud’s theories is that many of his ideas are not falsifiable or incapable of being proven as incorrect.
,D,20,Sigmund Freud developed his theory of human personality by conducting in-depth interviews over an extended period of time with a few clients. This type of research approach is known as a(n): ________.,,Archival research,,Case study,,Naturalistic observation,,Survey,B,"Surveys are lists of questions to be answered by research participants, and can be delivered as paper-and-pencil questionnaires, administered electronically, or conducted verbally.",,,,,,"Archival research relies on looking at past records or data sets to look for interesting patterns or relationships.Naturalistic observation is the observation of behavior in its natural setting.Surveys are lists of questions to be answered by research participants, and can be delivered as paper-and-pencil questionnaires, administered electronically, or conducted verbally."
,E,21,________ involves observing behavior in individuals in their natural environments. ,,Archival research,,Case study,,Naturalistic observation,,Survey,C,"Surveys are lists of questions to be answered by research participants, and can be delivered as paper-and-pencil questionnaires, administered electronically, or conducted verbally.",,,,,,"Archival research relies on looking at past records or data sets to look for interesting patterns or relationships.A clinical or case study when they focus on one person or just a few individuals.Surveys are lists of questions to be answered by research participants, and can be delivered as paper-and-pencil questionnaires, administered electronically, or conducted verbally."
,D,22,The major limitation of case studies is ________.,,The superficial nature of the information collected in this approach,,The lack of control that the researcher has in this approach,,The inability to generalize the findings from this approach to the larger population,,The absence of inter-rater reliability,C,Inter-rater reliability is the measure of agreement among observers on how they record and classify a particular event. ,,,,,,Generalizability is a measure of how useful the results of a study are for a broader group of people or situations. Inter-rater reliability is the measure of agreement among observers on how they record and classify a particular event. 
,D,23,The benefit of naturalistic observation studies is ________. ,,The honesty of the data that is collected in a realistic setting ,,How quick and easy these studies are to perform,,The researcher’s capacity to make sure that data is collected as efficiently as possible,,The ability to determine cause and effect in this particular approach,A,"True experimental research relies on statistical analysis to prove or disprove a hypothesis, making it the most accurate form of research. It can establish a cause-effect relationship within a group.",,,,,,"True experimental research relies on statistical analysis to prove or disprove a hypothesis, making it the most accurate form of research. It can establish a cause-effect relationship within a group."
,A,24,Using existing records to try to answer a research question is known as ________. ,,Naturalistic observation,,Survey research,,Longitudinal research,,Archival research,D,"When we test the same group of individuals repeatedly over an extended period of time, we are conducting longitudinal research. Longitudinal research is a research design in which data-gathering is administered repeatedly over an extended period of time.",,,,,,"Naturalistic observation is the observation of behavior in its natural setting.Surveys are lists of questions to be answered by research participants, and can be delivered as paper-and-pencil questionnaires, administered electronically, or conducted verbally.When we test the same group of individuals repeatedly over an extended period of time, we are conducting longitudinal research. Longitudinal research is a research design in which data-gathering is administered repeatedly over an extended period of time."
,E,25,________ involves following a group of research participants for an extended period of time. ,,Archival research,,Longitudinal research,,Naturalistic observation,,Cross-sectional research,B,"In cross-sectional research, a researcher compares multiple segments of the population at the same time.",,,,,,"Archival research relies on looking at past records or data sets to look for interesting patterns or relationships.Naturalistic observation is the observation of behavior in its natural setting.In cross-sectional research, a researcher compares multiple segments of the population at the same time."
,E,26,A(n) ________ is a list of questions developed by a researcher that can be administered in paper form.,,Archive,,Case study,,Naturalistic observation,,Survey,D,Naturalistic observation is the observation of behavior in its natural setting.,,,,,,Archival research relies on looking at past records or data sets to look for interesting patterns or relationships.A clinical or case study when they focus on one person or just a few individuals.Naturalistic observation is the observation of behavior in its natural setting.
,D,27,Longitudinal research is complicated by high rates of ________. ,,Deception,,Observation,,Attrition,,Generalization,C,Generalizability is a measure of how useful the results of a study are for a broader group of people or situations. ,,,,,,"Deception involves purposely misleading experiment participants in order to maintain the integrity of the experiment, but not to the point where the deception could be considered harmful.Generalizability is a measure of how useful the results of a study are for a broader group of people or situations. "
,E,28,Height and weight are positively correlated. This means that ________,,There is no relationship between height and weight.,,"Usually, the taller someone is, the thinner they are:",,"Usually, the shorter someone is, the heavier they are. ",,"As height increases, typically weight increases.",D,Distractor item,,,,,,
,A,29,Which of the following correlation coefficients indicates the strongest relationship between two variables? ,,-0.9,,-0.5,,0.8,,0.25,A,"The number portion of the correlation coefficient indicates the strength of the relationship. The closer the number is to 1 (be it negative or positive), the more strongly related the variables are, and the more predictable changes in one variable will be as the other variable changes. The closer the number is to zero, the weaker the relationship, and the less predictable the relationships between the variables becomes.",,,,,,"The number portion of the correlation coefficient indicates the strength of the relationship. The closer the number is to 1 (be it negative or positive), the more strongly related the variables are, and the more predictable changes in one variable will be as the other variable changes. The closer the number is to zero, the weaker the relationship, and the less predictable the relationships between the variables becomes.The number portion of the correlation coefficient indicates the strength of the relationship. The closer the number is to 1 (be it negative or positive), the more strongly related the variables are, and the more predictable changes in one variable will be as the other variable changes. The closer the number is to zero, the weaker the relationship, and the less predictable the relationships between the variables becomes.The number portion of the correlation coefficient indicates the strength of the relationship. The closer the number is to 1 (be it negative or positive), the more strongly related the variables are, and the more predictable changes in one variable will be as the other variable changes. The closer the number is to zero, the weaker the relationship, and the less predictable the relationships between the variables becomes."
,D,30,Which statement best illustrates a negative correlation between the number of hours spent watching TV the week before an exam and the grade on that exam? ,,Watching too much television leads to poor exam performance. ,,Smart students watch less television. ,,Viewing television interferes with a student’s ability to prepare for the upcoming exam. ,,Students who watch more television perform more poorly on their exams.,D,Distractor item,,,,,,
,E,31,The correlation coefficient indicates the weakest relationship when ________. ,,It is closest to 0.,,It is closest to -1.,,It is positive.,,It is negative.,A,"The number portion of the correlation coefficient indicates the strength of the relationship. The closer the number is to 1 (be it negative or positive), the more strongly related the variables are, and the more predictable changes in one variable will be as the other variable changes. The closer the number is to zero, the weaker the relationship, and the less predictable the relationships between the variables becomes.",,,,,,"The number portion of the correlation coefficient indicates the strength of the relationship. The closer the number is to 1 (be it negative or positive), the more strongly related the variables are, and the more predictable changes in one variable will be as the other variable changes. The closer the number is to zero, the weaker the relationship, and the less predictable the relationships between the variables becomes."
,A,32,________ means that everyone in the population has the same likelihood of being asked to participate in the study. ,,Operationalizing,,Placebo effect,,Random assignment,,Random sampling,D,Random assignment means that all participants have an equal chance of being assigned to either group.,,,,,,An operational definition is a description of how we will measure our variables.The placebo effect occurs when people's expectations or beliefs influence or determine their experience in a given situation.Random assignment means that all participants have an equal chance of being assigned to either group.
,A,33,"The ________ is controlled by the experimenter, while the ________ represents the information collected and statistically analyzed by the experimenter. ",,Dependent variable; independent variable,,Independent variable; dependent variable,,Placebo effect; experimenter bias,,Experiment bias; placebo effect,B,Experimenter bias refers to the researcher expectations that skew the results of the study while the placebo effect occurs when people's expectations or beliefs influence or determine their experience in a given situation. ,,,,,,Dependent variable is the variable that the researcher measures to see how much effect the independent variable had while the independent variable is the variable that is influenced or controlled by the experimenter.The placebo effect occurs when people's expectations or beliefs influence or determine their experience in a given situation while experimenter bias refers to the researcher expectations that skew the results of the study.Experimenter bias refers to the researcher expectations that skew the results of the study while the placebo effect occurs when people's expectations or beliefs influence or determine their experience in a given situation. 
,A,34,Researchers must ________ important concepts in their studies so others would have a clear understanding of exactly how those concepts were defined. ,,Rrandomly assign,,Randomly select,,Operationalize,,Generalize,C,Generalizability is a measure of how useful the results of a study are for a broader group of people or situations. ,,,,,,Random assignment means that all participants have an equal chance of being assigned to either group.Random selection refers to how sample members (study participants) are selected from the population for inclusion in the study.Generalizability is a measure of how useful the results of a study are for a broader group of people or situations. 
,E,35,"Sometimes, researchers will administer a(n) ________ to participants in the control group to control for the effects that participant expectation might have on the experiment. ",,Dependent variable,,Independent variable,,Statistical analysis,,Placebo,D,An operational definition is a description of how we will measure our variables.,,,,,,Dependent variable is the variable that the researcher measures to see how much effect the independent variable had.Independent variable is the variable that is influenced or controlled by the experimenter.An operational definition is a description of how we will measure our variables.
,E,36,Researchers might use ________ when providing participants with the full details of the experiment could skew their responses.,,Informed consent,,Deception,,Ethics,,Debriefing,B,"Debriefing is the act of informing participants about the intentions of the study in which they just participated; during this process, researchers reveal any deceptions that occurred and explain why deception was necessary. Debriefing typically occurs at the conclusion of participants' study involvement.",,,,,,"Each participant must sign an informed consent form before they can participate in the experiment. An informed consent form provides a written description of what participants can expect during the experiment, including potential risks and implications of the research. It also lets participants know that their involvement is completely voluntary and can be discontinued without penalty at any time. Furthermore, the informed consent guarantees that any data collected in the experiment will remain completely confidential.Research ethics involves the application of fundamental ethical principles to research activities which include the design and implementation of research, respect towards society and others, the use of resources and research outputs, scientific misconduct and the regulation of research.Debriefing is the act of informing participants about the intentions of the study in which they just participated; during this process, researchers reveal any deceptions that occurred and explain why deception was necessary. Debriefing typically occurs at the conclusion of participants' study involvement."
,E,37,A person’s participation in a research project must be ________. ,,Confidential ,,Rewarded,,Voluntary,,Public,C,Distractor item,,,,,,Distractor itemDistractor itemDistractor item
,A,38,"Before participating in an experiment, individuals should read and sign the ________ form.  ",,Informed consent,,Debriefing,,IRB,,Ethics,A,"Research ethics involves the application of fundamental ethical principles to research activities which include the design and implementation of research, respect towards society and others, the use of resources and research outputs, scientific misconduct and the regulation of research.",,,,,,"Debriefing is the act of informing participants about the intentions of the study in which they just participated; during this process, researchers reveal any deceptions that occurred and explain why deception was necessary. Debriefing typically occurs at the conclusion of participants' study involvement.Institutional Review Board (IRB) refers to the committee of administrators, scientists, and community members that reviews proposals for research involving human participants.Research ethics involves the application of fundamental ethical principles to research activities which include the design and implementation of research, respect towards society and others, the use of resources and research outputs, scientific misconduct and the regulation of research."
,D,39,"A(n) ________ is a sudden, permanent change in a sequence of DNA. ",,Allele,,Chromosome,,Epigenetic,,Mutation,D,"Epigenetics is the study of gene-environment interactions, such as how the same genotype leads to different phenotypes.",,,,,,"An allele is a specific version of a gene.Chromosomes are long strings of genetic material known as deoxyribonucleic acid (DNA).Epigenetics is the study of gene-environment interactions, such as how the same genotype leads to different phenotypes."
,D,40,"________ refers to a person’s genetic makeup, while ________ refers to a person’s physical characteristics. ",,Phenotype; genotype,,Genotype; phenotype,,DNA; gene,,Gene; DNA,B,Gene refers to the sequence of DNA that controls or partially controls physical characteristics while DNA or deoxyribonucleic acid is the helix-shaped molecule made of nucleotide base pairs.,,,,,,A phenotype is an individual’s inheritable physical characteristics while genotype refers to genetic makeup of an individual.DNA or deoxyribonucleic acid is the helix-shaped molecule made of nucleotide base pairs while gene refers to the sequence of DNA that controls or partially controls physical characteristics.Gene refers to the sequence of DNA that controls or partially controls physical characteristics while DNA or deoxyribonucleic acid is the helix-shaped molecule made of nucleotide base pairs.
,E,41, ________ is the field of study that focuses on genes and their expression. ,,Social psychology,,Evolutionary psychology,,Epigenetics,,Behavioral neuroscience,C,"Behavioral neuroscience, also known as biological psychology, biopsychology, or psychobiology, is the application of the principles of biology to the study of physiological, genetic, and developmental mechanisms of behavior in humans and other animals.",,,,,,"Social psychology focuses on how we interact with and relate to others.Evolutionary psychology focuses on how universal patterns of behavior and cognitive processes have evolved over time. TBehavioral neuroscience, also known as biological psychology, biopsychology, or psychobiology, is the application of the principles of biology to the study of physiological, genetic, and developmental mechanisms of behavior in humans and other animals."
,E,42,Humans have ________ pairs of chromosomes. ,,15,,23,,46,,78,B,Distractor item,,,,,,
,A,43,The ________ receive(s) incoming signals from other neurons.,,Soma,,Terminal buttons,,Myelin sheath,,Dendrites,D,Myelin sheath is the fatty substance that insulates axons.,,,,,,Soma refers to the cell body.Terminal buttons contain synaptic vesicles filled with neurotransmitters at the end of the axon. Myelin sheath is the fatty substance that insulates axons.
,D,44,A(n) ________ facilitates or mimics the activity of a given neurotransmitter system.,,Axon,,SSRI,,Agonist,,Antagonist,C,Antagonist is a drug that blocks or impedes the normal activity of a given neurotransmitter.,,,,,,"The axon is the major extension of the soma.SSRI or selective serotonin reuptake inhibitors prevents reuptake, thereby strengthening the effect of serotonin, giving it more time to interact with serotonin receptors on dendrites.Antagonist is a drug that blocks or impedes the normal activity of a given neurotransmitter."
,D,45,Multiple sclerosis involves a breakdown of the ________. ,,Soma,,Myelin sheath,,Synaptic vesicle,,Dendrites,B,Dendrites extend from the soma in tree-like branches.,,,,,,Soma refers to the cell body.A synaptic vesicle is the storage site for neurotransmitters.Dendrites extend from the soma in tree-like branches.
,D,46,An action potential involves Na+ moving ________ the cell and K+ moving ________ the cell. ,,Inside; outside,,Outside; inside,,Inside; inside,,Outside; outside,A,Distractor item,,,,,,
,A,47,Our ability to make our legs move as we walk across the room is controlled by the ________ nervous system. ,,Autonomic,,Somatic,,Sympathetic,,Parasympathetic ,B,"The parasympathetic nervous system is associated with returning the body to routine, day-to-day operations.",,,,,,"The autonomic nervous system controls our internal organs and glands and is generally considered to be outside the realm of voluntary control.The sympathetic nervous system is involved in preparing the body for stress-related activities.The parasympathetic nervous system is associated with returning the body to routine, day-to-day operations."
,A,48,"If your ________ is activated, you will feel relatively at ease.",,Somatic nervous system,,Sympathetic nervous system,,Parasympathetic nervous system,,Spinal cord,C,"The spinal cord is part of the central nervous system and is the most important structure between the body and the brain. The spinal cord extends from the foramen magnum where it is continuous with the medulla to the level of the first or second lumbar vertebrae. It is a vital link between the brain and the body, and from the body to the brain.",,,,,,"The somatic nervous system relays sensory and motor information to and from the CNS.The sympathetic nervous system is involved in preparing the body for stress-related activities.The spinal cord is part of the central nervous system and is the most important structure between the body and the brain. The spinal cord extends from the foramen magnum where it is continuous with the medulla to the level of the first or second lumbar vertebrae. It is a vital link between the brain and the body, and from the body to the brain."
,E,49,The central nervous system is comprised of ________. ,,Sympathetic and parasympathetic nervous systems,,Organs and glands,,Somatic and autonomic nervous systems are parts of the autonomic nervous system. ,,Brain and spinal cord,D,The somatic and autonomic nervous systems comprise the peripheral nervous system. ,,,,,,The sympathetic and parasympathetic nervous systems comprise the The endocrine system is a complex network of organs and glands throughout the body.The somatic and autonomic nervous systems comprise the peripheral nervous system. 
,A,50,Sympathetic activation is associated with ________. ,,Pupil dilation,,Storage of glucose in the liver,,Increased heart rate,,Both A and C,D,Increased heart rate is a sympathetic activation.,,,,,,Pupil dilation is a sympathetic activation. Storage of glucose in the liver is a parasympathetic function. Increased heart rate is a sympathetic activation.
,D,51,"The ________ is a sensory relay station where all sensory information, except for smell, goes before being sent to other areas of the brain for further processing. ",,Amygdala,,Hippocampus,,Hypothalamus,,Thalamus,D,Hypothalamus is forebrain structure that regulates sexual motivation and behavior and a number of homeostatic processes; serves as an interface between the nervous system and the endocrine system.,,,,,,Amygdala is a structure in the limbic system involved in our experience of emotion and tying emotional meaning to our memories.Hippocampus is a structure in the temporal lobe associated with learning and memory.Hypothalamus is forebrain structure that regulates sexual motivation and behavior and a number of homeostatic processes; serves as an interface between the nervous system and the endocrine system.
,A,52,"Damage to the ________ disrupts one’s ability to comprehend language, but it leaves one’s ability to produce words intact. ",,Amygdala,,Broca’s Area,,Wernicke’s Area,,Occipital lobe ,C,Occipital lobe is part of the cerebral cortex associated with visual processing which contains the primary visual cortex.,,,,,,Amygdala is a structure in the limbic system involved in our experience of emotion and tying emotional meaning to our memories.Broca’s Area is a region in the left hemisphere that is essential for language production.Occipital lobe is part of the cerebral cortex associated with visual processing which contains the primary visual cortex.
,A,53,A(n) ________ uses magnetic fields to create pictures of a given tissue. ,,EEG,,MRI,,PET scan,,CT scan,B,"CT (computed tomography) scan is a diagnostic imaging test used to create detailed images of internal organs, bones, soft tissue and blood vessels.",,,,,,"EEG or electroencephalography is the recording the electrical activity of the brain via electrodes on the scalp.PET or positron emission tomography scan is helpful for showing activity in different parts of the brain. CT (computed tomography) scan is a diagnostic imaging test used to create detailed images of internal organs, bones, soft tissue and blood vessels."
,D,54,Which of the following is not a structure of the forebrain? ,,Thalamus,,Hippocampus,,Amygdala,,Substantia nigra,D,Amygdala is a structure in the limbic system involved in our experience of emotion and tying emotional meaning to our memories.,,,,,,EEG or electroencephalography is the recording the electrical activity of the brain via electrodes on the scalp.Hippocampus is a structure in the temporal lobe associated with learning and memory.Amygdala is a structure in the limbic system involved in our experience of emotion and tying emotional meaning to our memories.
,D,55,The two major hormones secreted from the pancreas are: ,,Estrogen and progesterone,,Norepinephrine and epinephrine,,Thyroxine and oxytocin,,Glucagon and insulin,D,Thyroxine and oxytocin are produced under regulation from the hypothalamus.,,,,,,Estrogen and progesterone are hormones that are produced by a woman’s ovaries.Norepinephrine and epinephrine (as hormones) are produced by the adrenal glands. Thyroxine and oxytocin are produced under regulation from the hypothalamus.
,D,56,The ________ secretes messenger hormones that direct the function of the rest of the endocrine glands.,,Ovary,,Thyroid,,Pituitary,,Pancreas,C,The pancreas is an internal organ that secretes hormones that regulate blood sugar levels: insulin and glucagon.,,,,,,"The major hormones secreted by the ovaries are oestrogen and progesterone, both important hormones in the menstrual cycle.The thyroid secretes thyroxine, which is important for basic metabolic processes and growth.The pancreas is an internal organ that secretes hormones that regulate blood sugar levels: insulin and glucagon."
,E,57,The ________ gland secretes epinephrine.,,Adrenal,,Thyroid,,Pituitary,,Master,A,"The pituitary is often referred to as the “master gland” because its messenger hormones control all the other glands in the endocrine system, although it mostly carries out instructions from the hypothalamus. ",,,,,,"The thyroid secretes thyroxine, which is important for basic metabolic processes and growth.The pituitary is often referred to as the “master gland” because its messenger hormones control all the other glands in the endocrine system, although it mostly carries out instructions from the hypothalamus. It secretes the following hormones: adrenocorticotropic hormone,  growth hormone,  luteinising hormone and follicle stimulating hormone, prolactin, and  thyroid stimulating hormone. The pituitary is often referred to as the “master gland” because its messenger hormones control all the other glands in the endocrine system, although it mostly carries out instructions from the hypothalamus. "
,D,58,The ________ secretes hormones that regulate the body’s fluid levels. ,,Adrenal,,Pituitary,,Testes,,Thyroid,B,"The thyroid secretes thyroxine, which is important for basic metabolic processes and growth.",,,,,,"The adrenal gland secretes epinephrine.The testes produce sex hormones that regulate sexual motivation and behavior among males.The thyroid secretes thyroxine, which is important for basic metabolic processes and growth."
,D,59,The body’s biological clock is located in the ________. ,,Hippocampus,,Thalamus,,Hypothalamus,,Pituitary gland,C,"The pituitary gland secretes a number of key hormones, which regulate fluid levels in the body, and a number of messenger hormones, which direct the activity of other glands in the endocrine system.",,,,,,"Hippocampus is a structure in the temporal lobe associated with learning and memory.Thalamus is the sensory relay for the brain.The pituitary gland secretes a number of key hormones, which regulate fluid levels in the body, and a number of messenger hormones, which direct the activity of other glands in the endocrine system."
,D,60,________ occurs when there is a chronic deficiency in sleep. ,,Jet lag,,Rotating shift work,,Circadian rhythm,,Sleep debt,D,"Circadian rhythms are physical, mental, and behavioral changes that follow a 24-hour cycle. ",,,,,,"Jet lag is a collection of symptoms that results from the mismatch between our internal circadian cycles and our environment.Rotating shift work refers to a work schedule that changes from early to late on a daily or weekly basis.Circadian rhythms are physical, mental, and behavioral changes that follow a 24-hour cycle. "
,E,61,________ cycles occur roughly once every 24 hours. ,,Biological,,Circadian,,Rotating,,Conscious,B,Distractor item,,,,,,"Biological rhythm, periodic biological fluctuation in an organism that corresponds to, and is in response to, periodic environmental change. "
